file,doc_type,label,tamper_type,field,original_value,new_value,bbox,mrz_consistent
visas\tampered\visa_004_stamp.png,visa,tampered,stamp,stamp,03 JAN 2024,03 JAN 2025,"690,360,930,600",
passports\genuine\passport_005.png,passport,genuine,,,,,,True
passports\tampered\passport_005_dob.png,passport,tampered,dob,dob,06/04/1980,06/04/1978,"266,295,382,319",True
passports\tampered\passport_005_text_block.png,passport,tampered,text_block,place_of_birth,PUNE,BHOPAL,"655,295,756,319",True
visas\genuine\visa_005.png,visa,genuine,,,,,,True
visas\tampered\visa_005_photo.png,visa,tampered,photo,photo,photo_v0,photo_v1,"37,97,203,303",
visas\tampered\visa_005_name.png,visa,tampered,name,name,ABHINAV SHARMA,NIDHI SHARMA,"238,172,393,195",
passports\genuine\passport_006.png,passport,genuine,,,,,,True
passports\tampered\passport_006_text_block.png,passport,tampered,text_block,place_of_birth,KOCHI,NAGPUR,"654,296,758,320",False
passports\tampered\passport_006_name.png,passport,tampered,name,surname,TRIPATHI,NIDHI,"265,180,333,204",False
visas\genuine\visa_006.png,visa,genuine,,,,,,True
visas\tampered\visa_006_stamp.png,visa,tampered,stamp,stamp,08 FEB 2025,08 FEB 2024,"690,360,930,600",
visas\tampered\visa_006_photo.png,visa,tampered,photo,photo,photo_v0,photo_v1,"37,97,203,303",
passports\genuine\passport_007.png,passport,genuine,,,,,,True
passports\tampered\passport_007_expiry.png,passport,tampered,expiry,expiry,15/03/2033,15/02/2033,"655,356,771,380",False
passports\tampered\passport_007_photo.png,passport,tampered,photo,photo,photo_v0,photo_v1,"37,97,233,343",True
visas\genuine\visa_007.png,visa,genuine,,,,,,True
visas\tampered\visa_007_dob.png,visa,tampered,dob,dob,03/02/1975,03/01/1975,"237,223,345,246",
visas\tampered\visa_007_expiry.png,visa,tampered,expiry,valid_until,24/09/2025,24/09/2024,"634,336,742,359",
passports\genuine\passport_008.png,passport,genuine,,,,,,True
passports\tampered\passport_008_name.png,passport,tampered,name,surname,BHATIA,SHREYAS,"268,180,384,204",False
passports\tampered\passport_008_dob.png,passport,tampered,dob,dob,04/01/1996,04/03/1996,"266,301,382,325",False
visas\genuine\visa_008.png,visa,genuine,,,,,,True
visas\tampered\visa_008_dob.png,visa,tampered,dob,dob,04/01/1996,03/01/1996,"238,228,346,251",
visas\tampered\visa_008_photo.png,visa,tampered,photo,photo,photo_v0,photo_v1,"37,97,203,303",
passports\genuine\passport_009.png,passport,genuine,,,,,,True
passports\tampered\passport_009_text_block.png,passport,tampered,text_block,file_no,TF4940441,TF9294272,"657,416,775,440",False
passports\tampered\passport_009_dob.png,passport,tampered,dob,dob,06/12/2005,06/12/2007,"265,296,381,320",False
visas\genuine\visa_009.png,visa,genuine,,,,,,True
visas\tampered\visa_009_stamp.png,visa,tampered,stamp,stamp,01 MAR 2024,01 MAR 2023,"690,360,930,600",
visas\tampered\visa_009_dob.png,visa,tampered,dob,dob,06/12/2005,09/12/2005,"238,229,346,252",
passports\genuine\passport_010.png,passport,genuine,,,,,,True
passports\tampered\passport_010_name.png,passport,tampered,name,given_name,SANJANA,DEVANSH,"267,241,384,265",False
passports\tampered\passport_010_photo.png,passport,tampered,photo,photo,photo_v0,photo_v1,"37,97,233,343",True
visas\genuine\visa_010.png,visa,genuine,,,,,,True
visas\tampered\visa_010_expiry.png,visa,tampered,expiry,valid_until,02/03/2026,01/03/2026,"637,336,745,359",
visas\tampered\visa_010_stamp.png,visa,tampered,stamp,stamp,03 SEP 2025,03 SEP 2026,"690,360,930,600",
